ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
372577651,Photo,Cormorán de Pata Roja,Poikilocarbo gaimardi,,Jory Teltser,2021-09-23,2021,9,23,750,Peru,PE-LIM,Lima,,Isla Pucusana,-12.4758920,-76.8004203,"",,Unspecified,"","",,,,,,,S95051528,"",,,,,Poikilocarbo gaimardi,relcor1,Species,,,4.96,427,,2224,3336
417385121,Photo,Gaviotín Zarcillo,Larosterna inca,,Ben  Lucking,2022-01-29,2022,1,29,827,Peru,PE-LIM,Lima,,El Salto del Fraile,-12.1705163,-77.0366330,Adult – 1,,Unspecified,"","",,,,,,,S101644501,"",,,,,Larosterna inca,incter1,Species,,,4.99,124,,2868,4302
61673321,Photo,Canastero de Junín,Asthenes virgata,,Anonymous,2013-07-05,2013,7,5,1440,Peru,PE-JUN,Junín,,Lago Junin,-11.0406830,-76.0990390,"",,Unspecified,"","",,,,,,,S14981332,"",,,,,Asthenes virgata,juncan1,Species,,,4.96,171,,2413,3922
61671961,Photo,Siete Colores de la Totora,Tachuris rubrigastra,,Anonymous,2013-06-28,2013,6,28,1053,Peru,PE-LIM,Lima,,Refugio de Vida Silvestre Los Pantanos de Villa--Laguna Costera y Playa - Marvilla,-12.2243504,-76.9878852,"",,Unspecified,"","",,,,,,,S15201947,"",,,,"Impressive concentration of 25 in one matted area of reeds that was only about 3m x 15m (Jeremiah counted 25 at once, probably more birds in the area); they allowed point-blank photos and the grouping included som nearly tailless juvs",Tachuris rubrigastra,mcrtyr1,Species,,,4.94,167,,2906,4492
421870121,Photo,Chirigüe de Lomo Brillante,Sicalis uropygialis,,Ben  Lucking,2022-02-10,2022,2,10,1054,Peru,PE-JUN,Junín,,RN de Junín--Mirador de Conoc,-11.0549620,-76.1568626,"",,Unspecified,"","",,,,,,,S102398412,"",,,,,Sicalis uropygialis,bryfin1,Species,,,4.99,82,,2416,3624
416588411,Photo,Zambullidor de Junín,Podiceps taczanowskii,,Ben  Lucking,2022-02-10,2022,2,10,713,Peru,PE-JUN,Junín,,RN de Junín--Lago Junín/Chinchaycocha,-11.0166885,-76.0913086,"",,Unspecified,"","",,,,,,,S102398342,"",,,,,Podiceps taczanowskii,jungre1,Species,,,4.98,86,,1741,2612
425897211,Photo,Colibrí Cobrizo,Metallura theresiae,,Ben  Lucking,2022-02-08,2022,2,8,535,Peru,PE-HUC,Huánuco,,Bosque Unchog (Valqui D5.3),-9.7373144,-76.1698347,"",,Unspecified,"","",,,,,,,S102308626,"",,,,,Metallura theresiae,copmet1,Species,,,4.95,88,,1949,2924
426203311,Photo,Pitajo de Pecho Rufo,Ochthoeca rufipectoralis,,Ben  Lucking,2022-02-08,2022,2,8,535,Peru,PE-HUC,Huánuco,,Bosque Unchog (Valqui D5.3),-9.7373144,-76.1698347,"",,Unspecified,"","",,,,,,,S102308626,"",,,,,Ochthoeca rufipectoralis,rbctyr1,Species,,,4.97,77,,2179,3269
64384971,Photo,Albatros de las Galápagos,Phoebastria irrorata,,Brian Sullivan,2017-07-12,2017,7,12,926,Peru,PE-CAL,El Callao,,"South Pacific Ocean (-12.2670,-77.6350)",-12.2669820,-77.6350290,Adult,,Unspecified,"","",,,,,,,S38106288,"",,,,,Phoebastria irrorata,wavalb,Species,,,4.90,147,,1500,2500
61671981,Photo,Siete Colores de la Totora,Tachuris rubrigastra,,Anonymous,2013-06-28,2013,6,28,1053,Peru,PE-LIM,Lima,,Refugio de Vida Silvestre Los Pantanos de Villa--Laguna Costera y Playa - Marvilla,-12.2243504,-76.9878852,"",,Unspecified,"","",,,,,,,S15201947,"",,,,"Impressive concentration of 25 in one matted area of reeds that was only about 3m x 15m (Jeremiah counted 25 at once, probably more birds in the area); they allowed point-blank photos and the grouping included som nearly tailless juvs",Tachuris rubrigastra,mcrtyr1,Species,,,4.92,101,,3122,4933
